YEAR,WSEED,WTEAM,WSCORE,LSEED,LTEAM,LSCORE
2021,1,Baylor,86,1,Gonzaga,70
2019,1,Virginia,85,3,Texas Tech,77
2018,1,Villanova,79,3,Michigan,62
2017,1,North Carolina,71,1,Gonzaga,65
2016,2,Villanova,77,1,North Carolina,74
2015,1,Duke,68,1,Wisconsin,63
2014,7,Connecticut,60,8,Kentucky,54
2013,1,Louisville,82,4,Michigan,76
2012,1,Kentucky,67,2,Kansas,59
2011,3,Connecticut,53,8,Butler,41
2010,1,Duke,61,5,Butler,59
2009,1,North Carolina,89,2,Michigan State,72
2008,1,Kansas,75,1,Memphis,68
2007,1,Florida,84,1,Ohio State,75
2006,3,Florida,73,2,UCLA,57
2005,1,North Carolina,75,1,Illinois,70
2004,2,Connecticut,82,3,Georgia Tech,73
2003,3,Syracuse,81,2,Kansas,78
2002,1,Maryland,64,5,Indiana,52
2001,1,Duke,82,2,Arizona,72
2000,1,Michigan State,89,5,Florida,76
1999,1,Connecticut,77,1,Duke,74
1998,2,Kentucky,78,3,Utah,69
1997,4,Arizona,84,1,Kentucky,79
1996,1,Kentucky,76,4,Syracuse,67
1995,1,UCLA,89,2,Arkansas,78
1994,1,Arkansas,76,2,Duke,72
1993,1,North Carolina,77,1,Michigan,71
1992,1,Duke,71,6,Michigan,51
1991,2,Duke,72,3,Kansas,65
1990,1,UNLV,103,3,Duke,73
1989,3,Michigan,80,3,Seton Hall,79
1988,6,Kansas,83,1,Oklahoma,79
1987,1,Indiana,74,2,Syracuse,73
1986,2,Louisville,72,1,Duke,69
1985,8,Villanova,66,1,Georgetown,64
