ROUND,WSEED,WTEAM,WSCORE,LSEED,LTEAM,LSCORE
6,1,Baylor,86,1,Gonzaga,70
5,1,Gonzaga,93,11,UCLA,90
5,1,Baylor,78,2,Houston,59
4,2,Houston,67,12,Oregon State,61
4,1,Baylor,81,3,Arkansas,72
4,11,UCLA,51,1,Michigan,49
4,1,Gonzaga,85,6,Southern California,66
3,2,Houston,62,11,Syracuse,46
3,12,Oregon State,65,8,Loyola (Ill.),58
3,3,Arkansas,72,15,Oral Roberts,70
3,1,Baylor,62,5,Villanova,51
3,11,UCLA,88,2,Alabama,78
3,1,Michigan,76,4,Florida State,58
3,6,Southern California,82,7,Oregon,68
3,1,Gonzaga,83,5,Creighton,65
2,2,Houston,63,10,Rutgers,60
2,11,Syracuse,75,3,West Virginia,72
2,12,Oregon State,80,4,Oklahoma State,70
2,8,Loyola (Ill.),71,1,Illinois,58
2,15,Oral Roberts,81,7,Florida,78
2,3,Arkansas,68,6,Texas Tech,66
2,5,Villanova,84,13,North Texas,61
2,1,Baylor,76,9,Wisconsin,63
2,2,Alabama,96,10,Maryland,77
2,11,UCLA,67,14,Abilene Christian,47
2,4,Florida State,71,5,Colorado,53
2,1,Michigan,86,8,LSU,78
2,7,Oregon,95,2,Iowa,80
2,6,Southern California,85,3,Kansas,51
2,5,Creighton,72,13,Ohio,58
2,1,Gonzaga,87,8,Oklahoma,71
1,2,Houston,87,15,Cleveland State,56
1,10,Rutgers,60,7,Clemson,56
1,3,West Virginia,84,14,Morehead State,67
1,11,Syracuse,78,6,San Diego State,62
1,4,Oklahoma State,69,13,Liberty,60
1,12,Oregon State,70,5,Tennessee,56
1,8,Loyola (Ill.),71,9,Georgia State,60
1,1,Illinois,78,16,Drexel,49
1,15,Oral Roberts,75,2,Ohio State,72
1,7,Florida,75,10,Virginia Tech,70
1,3,Arkansas,85,14,Colgate,68
1,6,Texas Tech,65,11,Utah State,53
1,13,North Texas,78,4,Purdue,69
1,5,Villanova,73,12,Winthrop,63
1,9,Wisconsin,85,8,North Carolina,62
1,1,Baylor,79,16,Hartford,55
1,2,Alabama,68,15,Iona,55
1,10,Maryland,63,7,Connecticut,54
1,14,Abilene Christian,53,3,Texas,52
1,11,UCLA,73,6,Brigham Young,62
1,4,Florida State,64,13,UNC Greensboro,54
1,5,Colorado,96,12,Georgetown,73
1,8,LSU,76,9,St. Bonaventure,61
1,1,Michigan,82,16,Texas Southern,66
1,2,Iowa,86,15,Grand Canyon,74
1,3,Kansas,93,14,Eastern Washington,84
1,6,Southern California,72,11,Drake,56
1,13,Ohio,62,4,Virginia,58
1,5,Creighton,63,12,UC Santa Barbara,62
1,8,Oklahoma,72,9,Missouri,68
1,1,Gonzaga,98,16,Norfolk State,55
0,16,Norfolk State,54,16,Appalachian State,53
0,11,Drake,53,11,Wichita State,52
0,16,Texas Southern,60,16,Mount St. Mary's,52
0,11,UCLA,86,11,Michigan State,80
